月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2026/07/09,中段,83.05,90,28.44,正常登錄,資材,力鋼,1
2026/06/20,完成,80.78,93,69.28,已回報,品保,捷欣,106
2026/07/30,中段,57.50,127,97.81,正常登錄,製造,大宏,58
2026/06/22,後段,43.99,49,14.19,已回報,品保,順發,164
2026/07/25,後段,76.55,19,65.30,待確認,資材,順發,112
2026/07/16,完成,37.75,0,10.71,正常登錄,品保,永利,101
2026/06/30,完成,50.93,36,10.47,正常登錄,營運,大宏,201
2026/06/07,前段,30.56,216,82.78,已回報,資材,東昇,187
2026/06/14,後段,56.67,218,95.61,待確認,營運,順發,229
2026/07/27,中段,53.71,27,0.70,正常登錄,品保,順發,113
2026/06/01,前段,81.27,62,69.52,正常登錄,品保,東昇,189
2026/07/16,完成,28.44,62,73.26,已回報,研發,大宏,36
2026/06/22,中段,23.16,179,71.48,待確認,營運,永利,209
2026/06/26,前段,19.33,73,44.45,待確認,營運,永利,1
2026/07/17,中段,23.05,0,17.52,正常登錄,品保,東昇,113
2026/06/21,後段,39.61,187,24.42,正常登錄,品保,東昇,144
2026/06/09,後段,68.28,12,31.58,正常登錄,營運,捷欣,236
2026/06/17,完成,84.67,131,1.05,已回報,製造,東昇,126
2026/07/25,後段,83.57,58,60.05,待確認,資材,永利,103
2026/06/06,中段,47.20,0,33.96,正常登錄,研發,大宏,225
2026/06/27,前段,77.27,60,69.63,正常登錄,資材,東昇,49
2026/06/25,後段,74.77,0,95.43,正常登錄,營運,東昇,187
2026/07/18,後段,10.71,0,60.54,正常登錄,研發,力鋼,73
2026/07/06,完成,56.09,184,57.42,已回報,品保,捷欣,113
2026/07/18,中段,66.09,207,31.90,正常登錄,研發,順發,90
2026/07/23,中段,1.68,17,91.56,正常登錄,品保,大宏,232
2026/07/11,前段,16.20,32,95.35,正常登錄,營運,大宏,196
2026/06/04,完成,0.45,3,81.75,正常登錄,營運,東昇,32
2026/06/02,完成,0.92,7,85.57,正常登錄,資材,力鋼,116
2026/06/24,前段,90.65,12,74.29,正常登錄,製造,力鋼,129
2026/06/22,前段,59.63,226,80.39,正常登錄,製造,永利,148
2026/07/11,後段,22.38,233,46.54,正常登錄,研發,力鋼,119
2026/06/20,完成,92.99,0,76.65,正常登錄,營運,東昇,150
2026/06/08,中段,37.29,39,88.26,正常登錄,資材,順發,164
2026/07/03,後段,36.14,120,68.76,已回報,製造,力鋼,69
2026/06/11,完成,1.97,0,95.66,正常登錄,品保,大宏,224
2026/07/29,完成,20.42,0,60.61,正常登錄,營運,永利,232
2026/06/08,中段,70.84,16,79.65,待確認,資材,力鋼,167
2026/07/01,完成,21.01,175,26.35,已回報,營運,捷欣,115
2026/07/24,中段,40.21,232,49.06,正常登錄,研發,東昇,182
2026/07/26,完成,15.33,74,94.16,正常登錄,資材,大宏,103
2026/07/20,後段,20.41,114,90.41,已回報,品保,力鋼,104
2026/07/05,中段,60.75,82,35.05,待確認,資材,東昇,141
2026/06/19,前段,84.94,0,36.63,已回報,研發,捷欣,126
2026/06/06,中段,64.00,164,85.50,待確認,資材,東昇,230
2026/06/28,後段,5.79,35,8.12,正常登錄,品保,捷欣,29
2026/07/06,前段,6.29,146,10.52,正常登錄,研發,大宏,131
2026/06/03,中段,37.99,23,2.10,正常登錄,研發,順發,212
2026/07/30,後段,63.52,0,89.77,正常登錄,品保,大宏,130
2026/06/28,中段,25.33,118,72.63,正常登錄,品保,力鋼,190
2026/06/02,前段,16.74,94,36.79,已回報,營運,捷欣,160
2026/07/16,完成,25.07,170,80.95,正常登錄,製造,東昇,180
2026/06/03,完成,97.14,50,11.42,正常登錄,營運,順發,231
2026/06/28,前段,29.11,179,79.46,待確認,研發,力鋼,73
2026/06/25,完成,77.38,203,83.59,正常登錄,研發,永利,212
2026/07/19,前段,41.35,0,65.15,正常登錄,營運,大宏,137
2026/06/13,後段,73.95,187,96.10,正常登錄,營運,東昇,14
2026/06/10,中段,97.97,192,22.68,正常登錄,研發,順發,211
2026/06/16,完成,52.29,169,10.92,正常登錄,營運,力鋼,173
2026/06/15,後段,78.73,217,51.68,正常登錄,研發,東昇,9
2026/07/19,完成,16.48,44,85.16,正常登錄,品保,永利,121
2026/07/11,完成,16.69,104,29.21,正常登錄,資材,東昇,8
2026/06/23,前段,44.57,0,91.99,已回報,品保,力鋼,99
2026/07/01,中段,20.43,20,73.70,待確認,製造,大宏,233
2026/07/21,前段,49.75,208,8.23,正常登錄,營運,力鋼,189
2026/07/11,中段,52.11,0,84.98,正常登錄,研發,東昇,216
2026/07/12,前段,7.17,53,14.56,正常登錄,資材,東昇,231
2026/07/07,完成,76.60,166,77.00,待確認,研發,力鋼,42
2026/06/02,後段,91.74,99,2.56,待確認,資材,順發,68
2026/06/26,前段,0.90,2,39.37,待確認,品保,力鋼,90
2026/06/19,完成,53.13,152,72.34,已回報,營運,捷欣,152
2026/06/25,前段,56.30,173,95.40,正常登錄,資材,順發,80
2026/07/11,後段,32.85,43,86.37,正常登錄,資材,力鋼,148
2026/07/29,中段,71.74,21,77.74,正常登錄,製造,順發,82
2026/07/29,前段,55.44,148,13.06,正常登錄,品保,順發,202
2026/06/04,中段,86.13,119,33.58,正常登錄,營運,順發,21
2026/06/01,後段,8.18,51,1.06,正常登錄,品保,大宏,118
2026/07/11,前段,94.36,42,10.91,正常登錄,品保,大宏,42
2026/07/08,中段,15.66,15,73.38,待確認,品保,力鋼,186
2026/07/23,前段,71.55,0,3.94,正常登錄,品保,東昇,23
2026/06/25,後段,89.14,62,45.01,已回報,研發,力鋼,2
2026/07/06,完成,28.28,0,41.04,已回報,營運,東昇,59
2026/06/22,中段,49.65,0,2.39,正常登錄,品保,力鋼,190
2026/06/17,後段,96.30,0,41.82,已回報,研發,永利,95
2026/07/27,中段,31.19,32,86.58,待確認,研發,永利,9
2026/06/07,前段,12.56,0,91.95,已回報,資材,大宏,173
2026/07/06,前段,14.26,179,65.40,正常登錄,製造,東昇,136
2026/07/26,前段,39.66,43,77.65,正常登錄,製造,東昇,145
2026/06/11,後段,82.64,123,27.85,正常登錄,品保,東昇,4
2026/07/28,中段,55.85,0,20.09,已回報,品保,永利,17
2026/07/26,中段,24.51,82,57.85,正常登錄,資材,捷欣,42
2026/06/05,前段,57.09,41,63.85,待確認,營運,力鋼,150
2026/06/10,後段,84.13,46,76.27,正常登錄,品保,力鋼,173
2026/06/11,中段,40.40,66,64.16,正常登錄,資材,順發,115
2026/07/14,後段,92.72,96,65.06,正常登錄,研發,力鋼,215
2026/07/18,中段,66.82,170,60.02,正常登錄,製造,大宏,17
2026/07/30,中段,69.89,18,85.03,已回報,資材,永利,80
2026/07/08,前段,41.16,0,38.42,待確認,品保,捷欣,118
2026/06/27,後段,70.91,0,34.80,待確認,營運,捷欣,161
2026/06/29,後段,53.73,13,79.81,正常登錄,研發,永利,127
2026/07/18,完成,2.54,171,87.01,正常登錄,營運,東昇,187
2026/06/08,前段,59.84,0,5.42,已回報,營運,力鋼,188
2026/07/14,後段,27.29,180,73.84,待確認,製造,順發,191
2026/06/29,後段,7.18,38,0.47,正常登錄,營運,順發,224
2026/07/06,後段,41.09,36,35.19,正常登錄,營運,力鋼,51
2026/07/11,後段,77.11,15,21.88,正常登錄,品保,東昇,29
2026/06/26,前段,92.58,103,14.24,正常登錄,研發,大宏,237
2026/06/22,中段,30.88,40,42.55,正常登錄,製造,東昇,146
2026/07/04,後段,83.69,28,41.06,已回報,製造,東昇,181
2026/07/02,完成,37.04,0,82.86,正常登錄,資材,力鋼,34
2026/07/08,後段,12.52,64,12.81,正常登錄,資材,捷欣,209
2026/06/21,中段,64.63,0,86.53,待確認,營運,順發,58
2026/07/20,後段,68.47,96,50.78,正常登錄,營運,力鋼,211
2026/07/01,後段,64.73,126,74.10,正常登錄,資材,順發,50
2026/07/27,前段,35.43,0,12.29,已回報,品保,捷欣,82
2026/06/26,完成,45.55,0,84.57,正常登錄,製造,力鋼,90
2026/07/14,完成,30.98,0,51.44,待確認,資材,永利,84
2026/07/30,中段,1.68,0,90.37,正常登錄,營運,順發,17
2026/07/23,完成,21.11,178,58.33,正常登錄,品保,永利,69
2026/07/12,前段,84.53,235,95.88,待確認,營運,大宏,39
2026/07/16,完成,0.92,150,73.50,待確認,品保,大宏,173
2026/07/07,完成,51.87,0,1.90,正常登錄,品保,大宏,125
2026/06/24,中段,55.04,101,6.74,待確認,資材,東昇,100
2026/07/26,完成,18.33,125,6.70,已回報,資材,力鋼,142
2026/07/01,完成,2.47,152,49.62,已回報,營運,捷欣,196
2026/06/21,中段,68.12,227,78.63,正常登錄,研發,大宏,132
2026/06/08,完成,87.12,161,90.86,正常登錄,製造,東昇,74
2026/06/14,後段,85.01,82,64.89,已回報,品保,順發,65
2026/06/22,後段,60.11,0,12.33,正常登錄,營運,力鋼,97
2026/07/10,中段,77.50,0,16.06,正常登錄,製造,順發,23
2026/06/06,完成,4.08,195,10.12,正常登錄,資材,東昇,7
2026/07/05,前段,14.71,12,87.56,待確認,品保,順發,147
2026/07/25,中段,23.58,0,25.73,正常登錄,營運,順發,212
2026/07/15,中段,47.91,226,27.51,已回報,製造,大宏,67
2026/07/09,完成,65.90,42,83.35,已回報,資材,順發,138
2026/06/08,後段,61.28,215,86.12,正常登錄,研發,永利,169
2026/07/20,前段,91.18,158,28.35,待確認,品保,順發,207
2026/06/25,後段,28.51,210,95.85,正常登錄,資材,永利,150
2026/06/23,中段,55.26,33,83.92,正常登錄,品保,永利,1
2026/07/15,後段,43.80,106,77.27,正常登錄,研發,捷欣,55
2026/07/11,完成,40.16,130,7.52,正常登錄,營運,力鋼,198
2026/07/02,後段,67.47,62,0.46,已回報,品保,順發,127
2026/06/14,後段,14.05,0,44.64,正常登錄,製造,力鋼,30
2026/06/21,後段,8.18,159,71.77,待確認,營運,順發,53
2026/07/10,後段,75.48,130,95.33,正常登錄,品保,永利,113
2026/06/22,中段,71.65,128,90.63,正常登錄,營運,東昇,49
2026/07/07,後段,87.56,72,29.52,正常登錄,品保,東昇,9
2026/06/08,前段,87.23,118,28.91,已回報,營運,順發,82
2026/07/20,後段,69.53,0,3.42,待確認,品保,力鋼,103
2026/07/02,前段,59.35,8,24.85,已回報,品保,大宏,190
2026/06/13,前段,61.52,0,34.44,正常登錄,品保,力鋼,5
2026/07/18,完成,50.26,68,95.15,待確認,資材,大宏,131
2026/07/26,中段,27.88,7,55.92,已回報,品保,大宏,77
2026/06/19,完成,42.97,0,76.47,正常登錄,品保,東昇,63
2026/06/15,前段,87.17,0,57.76,正常登錄,營運,順發,181
2026/07/14,前段,8.67,118,75.62,正常登錄,營運,大宏,192
2026/07/19,前段,90.59,187,30.40,已回報,營運,力鋼,87
2026/06/11,完成,51.80,34,69.26,正常登錄,品保,永利,137
2026/06/09,前段,6.35,5,4.45,正常登錄,製造,捷欣,18
2026/07/28,中段,82.65,0,8.26,正常登錄,營運,永利,180
2026/06/08,中段,72.37,174,82.50,正常登錄,研發,大宏,227
2026/06/03,完成,80.99,0,64.18,正常登錄,研發,捷欣,177
2026/07/19,完成,89.96,0,87.88,已回報,製造,東昇,101
2026/07/12,中段,43.70,0,25.14,已回報,品保,大宏,236
2026/07/16,後段,71.72,173,67.13,已回報,營運,永利,208
2026/06/25,完成,1.61,75,44.44,正常登錄,資材,永利,231
2026/07/04,後段,20.17,174,62.23,正常登錄,研發,捷欣,57
2026/06/18,完成,67.37,179,38.77,正常登錄,營運,順發,42
2026/07/27,前段,92.40,0,90.41,正常登錄,製造,永利,22
2026/06/01,後段,51.37,24,86.91,正常登錄,營運,力鋼,54
2026/07/21,中段,78.07,213,32.75,正常登錄,研發,東昇,91
2026/06/02,後段,66.86,239,69.08,待確認,營運,順發,214
2026/07/27,完成,9.97,213,27.58,正常登錄,資材,東昇,71
2026/07/21,中段,14.19,209,90.83,正常登錄,研發,大宏,150
2026/07/18,中段,37.98,0,40.01,正常登錄,製造,東昇,219
2026/07/19,中段,50.34,221,58.55,正常登錄,資材,大宏,214
2026/06/30,前段,31.93,74,36.04,正常登錄,品保,永利,202
2026/06/03,完成,18.59,145,69.81,正常登錄,營運,永利,55
2026/06/25,中段,88.53,0,37.10,正常登錄,資材,永利,155
2026/07/27,中段,25.98,0,76.41,正常登錄,資材,順發,209
2026/07/30,完成,23.26,0,41.25,正常登錄,營運,東昇,183
2026/06/14,前段,41.43,135,78.83,正常登錄,資材,東昇,51
2026/07/11,完成,35.85,206,8.47,正常登錄,營運,大宏,5
2026/07/24,中段,25.97,25,91.53,待確認,資材,大宏,33
2026/07/03,中段,58.20,110,77.90,已回報,研發,大宏,138
2026/07/16,完成,73.63,0,22.78,正常登錄,營運,順發,76
2026/07/25,後段,35.45,0,56.11,已回報,資材,東昇,58
2026/07/11,中段,59.24,171,43.08,待確認,資材,永利,167
2026/07/21,後段,2.56,134,8.50,正常登錄,資材,力鋼,52
2026/06/21,前段,26.51,206,28.51,正常登錄,資材,東昇,55
2026/06/05,前段,22.87,232,24.41,正常登錄,營運,力鋼,181
2026/06/24,前段,54.99,89,62.53,正常登錄,製造,東昇,79
2026/06/17,完成,23.30,76,28.19,待確認,研發,東昇,163
2026/07/03,後段,72.60,107,17.48,正常登錄,營運,東昇,218
2026/07/20,前段,26.24,0,83.70,正常登錄,研發,大宏,104
2026/07/13,後段,68.84,25,3.04,正常登錄,品保,力鋼,209
2026/06/23,後段,12.14,189,15.42,正常登錄,製造,順發,65
2026/06/07,完成,57.94,169,37.58,正常登錄,資材,大宏,137
2026/06/12,後段,46.68,0,2.20,正常登錄,研發,東昇,174
2026/07/08,前段,0.55,4,12.33,待確認,品保,力鋼,96
2026/07/28,後段,6.39,223,80.06,正常登錄,營運,永利,162
2026/06/14,後段,8.52,101,12.59,正常登錄,製造,順發,124
2026/07/30,後段,85.75,170,60.67,待確認,製造,順發,47
2026/06/19,中段,16.12,40,97.70,正常登錄,營運,大宏,205
2026/06/13,前段,83.63,151,57.56,正常登錄,品保,東昇,237
2026/06/16,中段,53.17,195,78.09,待確認,營運,東昇,134
2026/07/21,中段,73.04,121,42.06,正常登錄,製造,捷欣,178
2026/07/29,完成,79.53,0,70.81,正常登錄,製造,永利,86
2026/07/30,中段,88.12,94,57.99,正常登錄,營運,力鋼,3
2026/06/13,後段,83.98,51,66.14,已回報,品保,力鋼,157
2026/07/07,前段,71.21,139,1.18,正常登錄,研發,順發,186
2026/06/01,前段,65.92,103,8.31,待確認,資材,捷欣,203
2026/07/25,後段,67.52,0,51.73,正常登錄,研發,順發,133
2026/07/28,中段,46.78,7,64.68,正常登錄,資材,順發,67
2026/07/04,中段,72.81,0,29.43,正常登錄,營運,東昇,175
2026/06/07,中段,76.86,28,87.20,正常登錄,製造,力鋼,193
2026/07/25,前段,54.60,180,68.91,已回報,製造,順發,70
2026/06/15,中段,48.06,27,9.68,待確認,營運,永利,5
2026/06/23,前段,56.85,0,20.22,正常登錄,營運,大宏,129
2026/07/10,前段,50.93,79,7.60,正常登錄,研發,力鋼,85
2026/07/05,後段,21.68,137,93.69,已回報,營運,順發,169
2026/07/12,完成,22.43,184,89.51,正常登錄,營運,東昇,181
2026/07/24,完成,42.64,177,80.47,已回報,營運,永利,141
2026/06/13,完成,94.16,0,1.26,待確認,品保,大宏,127
2026/06/07,中段,47.35,233,76.15,正常登錄,資材,大宏,237
2026/07/25,後段,63.37,0,24.66,已回報,製造,東昇,32
2026/07/11,中段,11.94,56,31.92,已回報,研發,東昇,183
2026/07/28,完成,80.46,24,15.22,待確認,製造,永利,14
2026/06/04,完成,22.61,0,95.44,正常登錄,製造,捷欣,124
2026/07/04,中段,88.24,90,59.92,正常登錄,研發,永利,200
2026/07/10,中段,68.32,184,70.05,正常登錄,研發,東昇,54
2026/06/23,完成,58.65,0,3.91,待確認,研發,力鋼,38
2026/06/15,完成,75.46,51,9.38,正常登錄,製造,永利,111
2026/07/27,中段,44.66,193,53.19,待確認,品保,順發,126
2026/07/14,後段,78.66,146,0.32,正常登錄,研發,大宏,14
2026/06/14,前段,62.51,0,72.22,正常登錄,品保,捷欣,67
2026/06/27,中段,22.21,0,97.32,正常登錄,研發,力鋼,110
2026/06/19,完成,2.92,14,52.36,正常登錄,營運,捷欣,146
2026/06/28,完成,68.14,35,29.91,待確認,品保,力鋼,11
2026/06/23,後段,18.73,0,8.49,已回報,營運,永利,240
2026/06/03,後段,56.97,10,34.42,待確認,研發,力鋼,155
2026/07/15,中段,59.36,0,94.47,正常登錄,研發,順發,52
2026/07/25,中段,37.71,226,97.34,正常登錄,製造,力鋼,203
2026/06/07,後段,94.93,131,39.06,正常登錄,研發,大宏,178
2026/07/29,中段,2.26,178,7.98,已回報,製造,大宏,113
2026/07/06,完成,19.35,196,92.08,已回報,品保,東昇,56
2026/06/09,後段,22.96,83,71.40,已回報,資材,大宏,174
2026/06/28,中段,20.36,47,97.18,已回報,研發,永利,83
2026/06/16,完成,22.68,148,38.87,正常登錄,品保,東昇,221
2026/07/28,完成,27.42,227,61.21,正常登錄,營運,大宏,64
2026/06/07,中段,69.86,85,95.90,待確認,品保,東昇,184
2026/07/17,後段,17.53,13,97.00,正常登錄,研發,捷欣,75
2026/06/14,中段,87.63,214,77.98,待確認,資材,大宏,89
2026/07/23,完成,6.90,195,39.97,正常登錄,資材,大宏,70
2026/07/06,完成,7.52,99,1.73,已回報,營運,力鋼,189
2026/07/07,後段,44.37,192,2.63,正常登錄,品保,永利,105
2026/06/05,完成,12.86,100,57.95,正常登錄,資材,永利,163
2026/07/26,中段,36.31,0,58.56,正常登錄,研發,大宏,49
2026/06/15,後段,46.89,222,96.16,正常登錄,研發,東昇,59
2026/07/02,中段,4.29,56,75.29,正常登錄,品保,大宏,207
2026/07/07,中段,2.60,0,65.92,正常登錄,研發,捷欣,215
2026/07/17,後段,41.21,177,34.70,正常登錄,品保,力鋼,108
2026/06/21,後段,69.75,133,65.25,正常登錄,資材,順發,135
2026/07/21,完成,39.35,67,40.68,正常登錄,製造,順發,210
2026/06/01,中段,96.63,176,53.77,正常登錄,研發,東昇,191
2026/06/01,前段,28.53,46,20.37,正常登錄,品保,順發,56
2026/07/21,中段,78.20,0,62.45,待確認,研發,力鋼,195
2026/07/01,完成,7.08,0,77.20,已回報,營運,捷欣,168
2026/07/13,後段,18.37,0,24.28,正常登錄,品保,捷欣,110
2026/07/21,完成,30.67,165,48.74,正常登錄,資材,捷欣,97
2026/07/12,中段,59.43,149,56.20,待確認,研發,大宏,77
2026/07/21,中段,11.96,61,33.70,正常登錄,資材,順發,65
2026/07/19,中段,52.08,0,12.20,正常登錄,營運,永利,186
2026/07/10,中段,16.83,49,31.32,已回報,研發,力鋼,7
2026/07/22,中段,10.37,164,24.37,已回報,研發,順發,127
2026/07/07,後段,36.08,72,81.35,已回報,營運,東昇,192
2026/07/26,後段,43.64,202,59.39,正常登錄,資材,順發,177
2026/07/25,中段,84.24,203,43.89,正常登錄,資材,捷欣,181
2026/07/27,中段,54.94,207,88.45,已回報,研發,永利,162
2026/07/10,完成,6.26,0,2.60,正常登錄,品保,捷欣,60
2026/07/27,完成,41.69,168,28.06,已回報,研發,順發,35
2026/07/02,完成,30.89,0,16.40,已回報,品保,東昇,23
2026/07/25,中段,82.24,0,89.40,正常登錄,資材,永利,237
2026/06/14,後段,72.04,80,48.93,正常登錄,品保,順發,103
2026/06/08,前段,73.62,30,80.95,正常登錄,資材,捷欣,26
2026/06/22,完成,28.57,17,74.41,待確認,製造,永利,105
2026/07/15,完成,96.66,0,61.61,正常登錄,研發,永利,222
2026/06/26,後段,0.82,8,54.53,正常登錄,營運,大宏,55
2026/06/07,後段,51.24,0,51.77,正常登錄,研發,永利,159
2026/06/30,完成,89.09,0,69.91,正常登錄,品保,順發,123
2026/06/26,前段,85.58,23,68.28,待確認,營運,順發,36
2026/06/07,前段,10.58,206,30.19,正常登錄,品保,力鋼,103
2026/07/21,後段,96.98,174,15.02,正常登錄,製造,力鋼,34
2026/07/11,前段,67.16,160,60.77,正常登錄,品保,大宏,65
2026/06/10,完成,62.83,118,44.72,正常登錄,品保,順發,26
2026/07/20,後段,39.87,98,39.99,已回報,製造,順發,86
2026/07/13,前段,31.50,0,27.00,正常登錄,資材,捷欣,113
2026/07/24,中段,57.41,134,52.76,待確認,製造,永利,134
2026/06/22,完成,65.64,70,9.19,正常登錄,品保,力鋼,109
2026/06/05,中段,87.26,0,9.54,正常登錄,製造,大宏,72
2026/07/26,前段,52.07,175,88.18,正常登錄,營運,力鋼,107
2026/07/20,後段,64.30,0,36.30,正常登錄,研發,捷欣,164
2026/06/13,中段,6.45,144,71.69,已回報,品保,大宏,15
2026/06/04,後段,61.01,235,36.35,正常登錄,製造,東昇,200
2026/06/23,完成,88.16,144,46.74,正常登錄,營運,順發,204
2026/07/04,前段,81.75,42,87.13,已回報,品保,力鋼,104
2026/06/22,中段,62.86,0,90.75,已回報,研發,順發,95
2026/07/13,後段,27.11,46,27.33,正常登錄,製造,東昇,32
2026/07/30,後段,0.99,164,26.01,正常登錄,營運,順發,85
2026/07/02,後段,92.01,78,38.13,正常登錄,製造,東昇,226
2026/07/25,前段,42.31,205,8.57,待確認,營運,順發,77
2026/06/15,完成,82.96,234,12.51,已回報,資材,力鋼,62
2026/06/16,完成,48.37,0,80.12,正常登錄,研發,東昇,203
2026/06/26,完成,22.50,217,32.79,正常登錄,製造,捷欣,134
2026/07/27,後段,24.57,235,22.19,正常登錄,製造,捷欣,30
2026/07/14,中段,79.85,214,26.64,正常登錄,品保,永利,234
2026/06/14,前段,89.59,12,25.88,已回報,品保,東昇,196
2026/07/01,後段,54.56,201,34.58,待確認,營運,捷欣,183
2026/06/06,完成,82.01,192,22.31,正常登錄,資材,捷欣,146
2026/06/16,前段,30.14,89,81.91,待確認,品保,東昇,118
2026/07/19,前段,0.57,4,93.85,正常登錄,製造,捷欣,23
2026/07/08,完成,41.84,0,26.29,正常登錄,製造,力鋼,217
2026/06/17,前段,93.24,0,63.09,待確認,品保,東昇,78
2026/06/23,前段,46.83,182,88.85,正常登錄,營運,大宏,236
2026/06/28,後段,28.71,142,97.31,已回報,品保,大宏,32
2026/06/03,前段,0.30,153,95.94,正常登錄,營運,永利,191
2026/07/08,後段,94.07,0,53.26,正常登錄,品保,東昇,164
2026/06/13,前段,19.37,85,34.37,已回報,品保,永利,164
2026/06/03,前段,86.68,0,14.76,正常登錄,製造,永利,34
2026/07/15,完成,30.60,0,8.47,待確認,品保,順發,173
2026/06/30,後段,41.49,0,78.00,已回報,製造,順發,205
2026/07/07,後段,8.35,124,91.17,正常登錄,資材,永利,60
2026/07/08,中段,6.31,3,80.38,已回報,營運,力鋼,192
2026/07/18,前段,6.14,232,27.22,已回報,研發,永利,219
2026/07/20,後段,36.32,92,29.89,待確認,研發,東昇,7
2026/06/21,完成,63.61,98,71.33,已回報,資材,順發,196
2026/06/08,前段,22.24,0,53.99,正常登錄,品保,東昇,93
2026/06/01,後段,28.36,6,61.67,待確認,品保,力鋼,129
2026/06/24,前段,88.60,195,68.22,正常登錄,營運,捷欣,47
2026/06/17,完成,31.27,169,73.76,正常登錄,製造,大宏,69
2026/06/09,後段,33.67,0,96.60,待確認,品保,力鋼,207
2026/06/29,中段,65.80,52,84.68,待確認,資材,大宏,145
2026/07/08,後段,70.14,0,42.29,已回報,製造,大宏,139
2026/06/14,中段,35.07,0,38.00,待確認,研發,大宏,175
2026/06/25,完成,0.77,3,80.94,正常登錄,營運,力鋼,4
2026/06/10,完成,10.37,0,45.22,待確認,資材,永利,113
2026/07/21,前段,25.82,0,15.85,正常登錄,研發,力鋼,143
